id1,foodproduct1,id2,foodproduct2,similarity
8491,"""Minyak Goreng Cap Sevilla""",4380,"""Kribab (Kripik Kebab) Rasa Keju Pedas Daun Jeruk Merek Snack_Ku""",0.6836933493614197
5029,"""KOKIN Bubur Kacang Hijau""",5673,"""Kukis Granola Raisin""",0.6835609078407288
5673,"""Kukis Granola Raisin""",5029,"""KOKIN Bubur Kacang Hijau""",0.6835609078407288
5418,""" Risoles Mayo""",8064,"""Coeslaw""",0.6834247708320618
8064,"""Coeslaw""",5418,""" Risoles Mayo""",0.6834247708320618
1962,""" Ayam Goreng Mentega""",5882,"""Kue Kering Kastengel Gracella""",0.6833441257476807
5882,"""Kue Kering Kastengel Gracella""",1962,""" Ayam Goreng Mentega""",0.6833441257476807
5204,"""Gluten Free Premix Kukis \""Ladang Lima\""""",3898,"""Pastel""",0.6832655072212219
3898,"""Pastel""",5204,"""Gluten Free Premix Kukis \""Ladang Lima\""""",0.6832655072212219
2055,""" Kucur""",254,"""Keripik Pisang Original 'PUTRA ABADI'""",0.6832346320152283
254,"""Keripik Pisang Original 'PUTRA ABADI'""",2055,""" Kucur""",0.6832346320152283
6181,""" Mr Spice Bawang Putih Goreng""",6430,"""KOPI BERKAH dengan campuran jagung""",0.6832301616668701
6430,"""KOPI BERKAH dengan campuran jagung""",6181,""" Mr Spice Bawang Putih Goreng""",0.6832301616668701
7126,""" Nasi Lele Crispy “Santri”""",3349,"""Nasi Kakap Asam Manis ”Elmara Catering”""",0.6832042932510376
3349,"""Nasi Kakap Asam Manis ”Elmara Catering”""",7126,""" Nasi Lele Crispy “Santri”""",0.6832042932510376
6793,"""Ice Juice""",4278,"""Roti Manis Isi Cokelat Keju""",0.6831713914871216
4278,"""Roti Manis Isi Cokelat Keju""",6793,"""Ice Juice""",0.6831713914871216
121,"""Selai Rasa Melon (So Sweet)""",2184,"""Wajik Legit""",0.6830681562423706
2184,"""Wajik Legit""",121,"""Selai Rasa Melon (So Sweet)""",0.6830681562423706
675,""" Kocoi""",4009,"""Ultimate Ramen""",0.6830073595046997
4009,"""Ultimate Ramen""",675,""" Kocoi""",0.6830073595046997
2005,"""Garam Inggris Cap Gajah""",6121,"""Jus Buah Mangga""",0.6827383041381836
6121,"""Jus Buah Mangga""",2005,"""Garam Inggris Cap Gajah""",0.6827383041381836
5998,"""Keu Cumcum""",3738,"""Pempek Lenjer Bang Ocit""",0.6826301217079163
3738,"""Pempek Lenjer Bang Ocit""",5998,"""Keu Cumcum""",0.6826301217079163
1487,"""Kue kering thumbrin """,8347,"""Vegepro CFI-CSP 70""",0.6825904846191406
8347,"""Vegepro CFI-CSP 70""",1487,"""Kue kering thumbrin """,0.6825904846191406
4749,""" OJO Raisin Wafers """,6714,"""Jeruk Nipis Hangat/Es""",0.6825569272041321
6714,"""Jeruk Nipis Hangat/Es""",4749,""" OJO Raisin Wafers """,0.6825569272041321
1244,"""KUE KACANG \""BEDA\""""",4204,"""Roti Bakar \""Isi Weteng\""""",0.6824868321418762
4204,"""Roti Bakar \""Isi Weteng\""""",1244,"""KUE KACANG \""BEDA\""""",0.6824868321418762
3467,"""EMR KELP POWDER""",4514,"""Paru Goreng""",0.6824729442596436
4514,"""Paru Goreng""",3467,"""EMR KELP POWDER""",0.6824729442596436
5450,""" Roti Meat Lovers""",5523,"""hoco Banana Powder """,0.6822024583816528
5523,"""hoco Banana Powder """,5450,""" Roti Meat Lovers""",0.6822024583816528
1228,"""Bandeng Pepes Mangga Muda \""Bandeng Juwana\""""",6592,"""Cake Kentang Keju""",0.6821551322937012
6592,"""Cake Kentang Keju""",1228,"""Bandeng Pepes Mangga Muda \""Bandeng Juwana\""""",0.6821551322937012
8310,"""Chicken Curry  (Valore)""",6153,"""Kopi Arabica""",0.6820858716964722
6153,"""Kopi Arabica""",8310,"""Chicken Curry  (Valore)""",0.6820858716964722
4573,"""KDS Popcorn Rasa Pandan Manis""",6318,"""Ngastina Nasi Gandul Daging""",0.6818592548370361
6318,"""Ngastina Nasi Gandul Daging""",4573,"""KDS Popcorn Rasa Pandan Manis""",0.6818592548370361
6480,"""Coklat Susu Pisang""",7227,"""MILKY COKLAT""",0.6818581223487854
7227,"""MILKY COKLAT""",6480,"""Coklat Susu Pisang""",0.6818581223487854
8269,"""Danish Blueberry (Valore)""",2727,"""kastengel darna""",0.6818299293518066
2727,"""kastengel darna""",8269,"""Danish Blueberry (Valore)""",0.6818299293518066
5131,"""ES DEGAN JELLY""",4846,"""Monde Wafer Krim Cokelat (Chocolate Wafers)""",0.6818221807479858
4846,"""Monde Wafer Krim Cokelat (Chocolate Wafers)""",5131,"""ES DEGAN JELLY""",0.6818221807479858
3747,"""Dimsum Udang “Spesial Dimsum”""",3225,"""stup Roti Tawar Toping choco ships""",0.681668221950531
3225,"""stup Roti Tawar Toping choco ships""",3747,"""Dimsum Udang “Spesial Dimsum”""",0.681668221950531
3813,"""Brownies MILO""",6386,"""NUTELLA COOKIES NENAKWE""",0.6815105080604553
6386,"""NUTELLA COOKIES NENAKWE""",3813,"""Brownies MILO""",0.6815105080604553
1405,""" Spicy Gyu Don""",1280,"""Lidah Kucing Green Tea Bellin Bakery""",0.6814504861831665
1280,"""Lidah Kucing Green Tea Bellin Bakery""",1405,""" Spicy Gyu Don""",0.6814504861831665
1338,""" Ebi Mayo Bento""",7659,"""Kerupuk Ikan \""Tayamum\""""",0.6814377307891846
7659,"""Kerupuk Ikan \""Tayamum\""""",1338,""" Ebi Mayo Bento""",0.6814377307891846
3755,"""Empal Paru Original \""Zamzelova\""""",3279,"""Kue Kacang""",0.6814373135566711
3279,"""Kue Kacang""",3755,"""Empal Paru Original \""Zamzelova\""""",0.6814373135566711
203,"""Asinan Buah""",6011,"""Ayam Isi (Gevuldekip) Jamur""",0.681156575679779
6011,"""Ayam Isi (Gevuldekip) Jamur""",203,"""Asinan Buah""",0.681156575679779
1027,"""Gelato di Lenno Matcha """,6423,"""YungSan botol @ 12 kapsul """,0.6809852123260498
6423,"""YungSan botol @ 12 kapsul """,1027,"""Gelato di Lenno Matcha """,0.6809852123260498
